시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,횡성군,B000005084,안흥초등학교덕천분교장,초등학교,1948-08-07,공립,분교,운영,강원도 횡성군 안흥면 소사리  588-1,강원도 횡성군 안흥면 덕송로  23,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.4646735,128.1544275,2017-09-05
강원도,횡성군,B000005086,갑천초등학교금성분교장,초등학교,1936-07-11,공립,분교,운영,강원도 횡성군 갑천면 하대리  44,강원도 횡성군 갑천면 갑천로  605,7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,,37.5381359,128.1622292,2017-09-05
강원도,고성군,B000005226,명파초등학교,초등학교,1959-03-17,공립,본교,운영,강원도 고성군 현내면 명파리  264,강원도 고성군 현내면 금강산로  840,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.5416721,128.4013983,2017-09-05
강원도,고성군,B000005227,대진초등학교,초등학교,1926-04-01,공립,본교,운영,강원도 고성군 현내면 대진리  148,강원도 고성군 현내면 대진3길  15,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,2013-11-29,38.4968422,128.4235922,2017-09-05
강원도,고성군,B000005228,도학초등학교,초등학교,1961-08-07,공립,본교,운영,강원도 고성군 토성면 도원리  193-1,강원도 고성군 토성면 무릉도원로  486,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2724735,128.5017005,2017-09-05
강원도,고성군,B000005229,인흥초등학교,초등학교,1940-11-15,공립,본교,운영,강원도 고성군 토성면 인흥리  180,강원도 고성군 토성면 인흥1길  26,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2365069,128.5506787,2017-09-05
강원도,고성군,B000005230,광산초등학교흘리분교장,초등학교,1961-04-01,공립,분교,운영,강원도 고성군 간성읍 흘리  55,강원도 고성군 간성읍 흘리령길  3-15,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2665276,128.3742300,2017-09-05
강원도,양구군,B000009875,해안중학교,중학교,1979-03-08,공립,본교,운영,강원도 양구군 해안면 현리  143,강원도 양구군 해안면 펀치볼로  1279,7800000,강원도교육청,7951000,강원도양구교육지원청,2013-11-29,,38.2839625,128.1359089,2017-09-05
강원도,원주시,B000009746,치악중학교,중학교,1986-06-07,공립,본교,운영,강원도 원주시 단계동  481-8,강원도 원주시 원문로137번길  36(단계동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3534833,127.9310035,2017-09-05
강원도,원주시,B000009747,평원중학교,중학교,1993-10-22,공립,본교,운영,강원도 원주시 단계동  913,강원도 원주시 무실로  222(단계동),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,,37.3389249,127.9360649,2017-09-05
